id;login;email;password
1;Interactions Unbranded Plastic Sausages ;"~?@/}&p.gFH";Rustic Soft Hat
2;Frozen Refined;"vuqw-@;yxGl:.'4/1#";Handcrafted Metal Salad Incredible Iowa
3;fault-tolerant systems back-end;"M7P+@{..>aGu-*";CFA Franc BCEAO Quality-focused
4;users Ball Refined;"}7I@h#R.57m0{.";mobile Berkshire Armenia
5;auxiliary fuchsia;"'OLbP@[*T6.nK";Analyst Polarised generating
6;Concrete;"6BkWu@I<j;r.[CwR";Strategist Licensed
7;Clothing Customer Avon;"}MH@V5,.sNa{";Illinois Chief
8;extend pixel;"vNn@QX&.t";Music Metal optimize
9;Clothing pixel;"UZnAii@-.p?";Singapore Dollar
10;cross-platform;"J@RB.?qE";Investment Account Moldovan Leu Arizona
